"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка получения токена для авторизации","404","authorization","Surefire suite","Tue Sep 30 05:56:51 UTC 2025","passed","Tue Sep 30 05:56:52 UTC 2025","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","authorization"
"Поиск по слову","35823","checkLogin","Surefire suite","Tue Sep 30 05:57:15 UTC 2025","broken","Tue Sep 30 05:57:51 UTC 2025","tests.ui.SearchTest","Surefire test","tests.ui.SearchTest","checkLogin"
"Проверка получения пользователя","321","getUser","Surefire suite","Tue Sep 30 05:56:51 UTC 2025","passed","Tue Sep 30 05:56:51 UTC 2025","tests.api.GetUserTest","Surefire test","tests.api.GetUserTest","getUser"
"Регистрация по невалидному номеру телефона","38958","checkLogin","Surefire suite","Tue Sep 30 05:58:30 UTC 2025","broken","Tue Sep 30 05:59:09 UTC 2025","tests.ui.RegistrationTest","Surefire test","tests.ui.RegistrationTest","checkLogin"
"Установка темной темы","13552","checkDarkBackground","Surefire suite","Tue Sep 30 05:57:51 UTC 2025","broken","Tue Sep 30 05:58:05 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkDarkBackground"
"Вход на почту с невалидным названием ящика","15048","checkLogin","Surefire suite","Tue Sep 30 05:58:05 UTC 2025","broken","Tue Sep 30 05:58:20 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogin"
"Проверка создания пользователя","710","createUser","Surefire suite","Tue Sep 30 05:56:50 UTC 2025","passed","Tue Sep 30 05:56:51 UTC 2025","tests.api.CreateUserTest","Surefire test","tests.api.CreateUserTest","createUser"
"Проверка добавление денег пользователю","747","addMoneyUser","Surefire suite","Tue Sep 30 05:56:49 UTC 2025","passed","Tue Sep 30 05:56:50 UTC 2025","tests.api.AddMoneyUserTest","Surefire test","tests.api.AddMoneyUserTest","addMoneyUser"
"Смена языка на странице проектов mail.ru","8568","getEnProjectsPage","Surefire suite","Tue Sep 30 05:58:21 UTC 2025","passed","Tue Sep 30 05:58:29 UTC 2025","tests.ui.ProjectsTest","Surefire test","tests.ui.ProjectsTest","getEnProjectsPage"
