"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск по слову","39283","checkLogin","Surefire suite","Sun Sep 21 15:29:38 UTC 2025","broken","Sun Sep 21 15:30:17 UTC 2025","tests.ui.SearchTest","Surefire test","tests.ui.SearchTest","checkLogin"
"Смена языка на странице проектов mail.ru","9853","getEnProjectsPage","Surefire suite","Sun Sep 21 15:29:27 UTC 2025","passed","Sun Sep 21 15:29:37 UTC 2025","tests.ui.ProjectsTest","Surefire test","tests.ui.ProjectsTest","getEnProjectsPage"
"Проверка получения пользователя","383","getUser","Surefire suite","Sun Sep 21 15:29:25 UTC 2025","passed","Sun Sep 21 15:29:25 UTC 2025","tests.api.GetUserTest","Surefire test","tests.api.GetUserTest","getUser"
"Проверка получения токена для авторизации","478","authorization","Surefire suite","Sun Sep 21 15:29:26 UTC 2025","passed","Sun Sep 21 15:29:27 UTC 2025","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","authorization"
"Вход на почту с невалидным названием ящика","19792","checkLogin","Surefire suite","Sun Sep 21 15:31:16 UTC 2025","broken","Sun Sep 21 15:31:36 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogin"
"Проверка создания пользователя","874","createUser","Surefire suite","Sun Sep 21 15:29:23 UTC 2025","passed","Sun Sep 21 15:29:24 UTC 2025","tests.api.CreateUserTest","Surefire test","tests.api.CreateUserTest","createUser"
"Установка темной темы","14251","checkDarkBackground","Surefire suite","Sun Sep 21 15:31:02 UTC 2025","broken","Sun Sep 21 15:31:16 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkDarkBackground"
"Проверка добавление денег пользователю","836","addMoneyUser","Surefire suite","Sun Sep 21 15:29:25 UTC 2025","passed","Sun Sep 21 15:29:26 UTC 2025","tests.api.AddMoneyUserTest","Surefire test","tests.api.AddMoneyUserTest","addMoneyUser"
"Регистрация по невалидному номеру телефона","43954","checkLogin","Surefire suite","Sun Sep 21 15:30:17 UTC 2025","broken","Sun Sep 21 15:31:01 UTC 2025","tests.ui.RegistrationTest","Surefire test","tests.ui.RegistrationTest","checkLogin"
