"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавление денег пользователю","610","addMoneyUser","Surefire suite","Sun Sep 28 16:58:37 UTC 2025","passed","Sun Sep 28 16:58:38 UTC 2025","tests.api.AddMoneyUserTest","Surefire test","tests.api.AddMoneyUserTest","addMoneyUser"
"Вход на почту с невалидным названием ящика","15030","checkLogin","Surefire suite","Sun Sep 28 16:59:23 UTC 2025","broken","Sun Sep 28 16:59:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogin"
"Регистрация по невалидному номеру телефона","35620","checkLogin","Surefire suite","Sun Sep 28 16:59:45 UTC 2025","broken","Sun Sep 28 17:00:21 UTC 2025","tests.ui.RegistrationTest","Surefire test","tests.ui.RegistrationTest","checkLogin"
"Смена языка на странице проектов mail.ru","6198","getEnProjectsPage","Surefire suite","Sun Sep 28 16:59:38 UTC 2025","passed","Sun Sep 28 16:59:45 UTC 2025","tests.ui.ProjectsTest","Surefire test","tests.ui.ProjectsTest","getEnProjectsPage"
"Поиск по слову","30415","checkLogin","Surefire suite","Sun Sep 28 16:58:41 UTC 2025","broken","Sun Sep 28 16:59:11 UTC 2025","tests.ui.SearchTest","Surefire test","tests.ui.SearchTest","checkLogin"
"Проверка создания пользователя","603","createUser","Surefire suite","Sun Sep 28 16:58:38 UTC 2025","passed","Sun Sep 28 16:58:39 UTC 2025","tests.api.CreateUserTest","Surefire test","tests.api.CreateUserTest","createUser"
"Проверка получения токена для авторизации","349","authorization","Surefire suite","Sun Sep 28 16:58:40 UTC 2025","passed","Sun Sep 28 16:58:40 UTC 2025","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","authorization"
"Установка темной темы","11106","checkDarkBackground","Surefire suite","Sun Sep 28 16:59:11 UTC 2025","broken","Sun Sep 28 16:59:22 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkDarkBackground"
"Проверка получения пользователя","268","getUser","Surefire suite","Sun Sep 28 16:58:39 UTC 2025","passed","Sun Sep 28 16:58:39 UTC 2025","tests.api.GetUserTest","Surefire test","tests.api.GetUserTest","getUser"
